facility_id,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs,start_date,end_date
50324,0015CWW3R9FPD02,Y,1/1/2023,12/31/2023
50327,0015CBN98XPZ9QM,Y,1/1/2023,12/31/2023
50329,0015CQC4AND9RQT,Y,1/1/2023,12/31/2023
50334,0015CXF62FCZ8VX,Y,1/1/2023,12/31/2023
50335,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50336,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50342,,,1/1/2023,12/31/2023
50348,0015C7J3NZX7XGG,Y,1/1/2023,12/31/2023
50350,,,1/1/2023,12/31/2023
50351,0015CYS34CWF6CD,Y,1/1/2023,12/31/2023
50352,0015CWW3R9FPD02,Y,1/1/2023,12/31/2023
50353,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50357,0015CUE5T17SNJ9,Y,1/1/2023,12/31/2023
50360,0015CWV39V23WRL,Y,1/1/2023,12/31/2023
50367,0015CN78HDP53FJ,Y,1/1/2023,12/31/2023
50373,0015CGA18HTL43R,Y,1/1/2023,12/31/2023
50376,0015CGA18HTL43R,Y,1/1/2023,12/31/2023
50378,,,1/1/2023,12/31/2023
50380,0015C622YQ4JDC3,Y,1/1/2023,12/31/2023
50382,0015C9C2SQ9587T,Y,1/1/2023,12/31/2023
50390,,,1/1/2023,12/31/2023
50393,0015CF2C9MW8EHH,Y,1/1/2023,12/31/2023
50394,0015CV0HYF5X01F,Y,1/1/2023,12/31/2023
50396,0015CUE5T17SNJ9,Y,1/1/2023,12/31/2023
50407,0015CND5SVV3P54,Y,1/1/2023,12/31/2023
50411,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50414,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50417,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50424,0015CWW3R9FPD02,Y,1/1/2023,12/31/2023
50425,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
